feature,count,feature_category
operation-ledger-created:6,11,operation-ledger
operation-ledger-live:4,129,operation-ledger
block-depth:core/html:0,8,block-depth
action-pair:reparse-edited-content->edit-paragraph,2,action-pair
total-blocks:20,18,other
action-pair:edit-common-block-attributes->edit-nested-paragraph,2,action-pair
action-pair:edit-nested-paragraph->move-block-into-group,17,action-pair
action-pair:move-block-into-group->delete-block,10,action-pair
action-pair:delete-block->reparse-edited-content,2,action-pair
action-pair:reparse-edited-content->insert-heading,4,action-pair
action-pair:edit-table-array-attributes->edit-title,7,action-pair
action-pair:edit-paragraph->insert-nested-group,22,action-pair
action-pair:edit-paragraph->append-parser-stress-content,5,action-pair
action-pair:append-parser-stress-content->edit-title,3,action-pair
operation-event-action:invalidated:append-parser-stress-content:content,11,operation-ledger
total-blocks:27,9,other
block-depth:core/list:1,19,block-depth
block-depth:core/list-item:2,19,block-depth
action-pair:insert-nested-group->insert-paragraph,20,action-pair
action-pair:insert-paragraph->insert-common-block,3,action-pair
action-pair:insert-common-block->edit-nested-paragraph,1,action-pair
block:core/block,84,block
action-pair:append-paragraph->move-block-into-group,15,action-pair
action-pair:move-block-into-group->concurrent-paragraphs,14,action-pair
action-pair:concurrent-paragraphs->move-block-into-group,19,action-pair
action-pair:move-block-into-group->edit-rich-text-pair-block,2,action-pair
action-pair:edit-rich-text-pair-block->edit-common-block-attributes,1,action-pair
action-pair:edit-common-block-attributes->insert-async-server-block,1,action-pair
action-pair:insert-async-server-block->insert-async-server-block,73,action-pair
action-pair:insert-async-server-block->insert-paragraph,13,action-pair
total-blocks:22,19,other
block-depth:core/image:1,9,block-depth
block-depth:core/block:0,84,block-depth
action-pair:delete-block->insert-nested-group,24,action-pair
action-pair:insert-nested-group->edit-formatted-paragraph-at-cursor,1,action-pair
action-pair:edit-formatted-paragraph-at-cursor->edit-formatted-paragraph-at-cursor,3,action-pair
